NO,source_id,source_name,source_url,description_mode,license_id,rights_holder,attribution_text,evidence_url,verified_at,rights_status,similarity_check,privacy_mode
WEB34c86f283d,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/2607aeonpaycp.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB2eb68c6150,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/2608welcome-aeon.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB3ade29f7b6,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e85934_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBe0d2e0ce50,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e84601_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBc9472373a4,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e86593_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBbdb858d2c4,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e79931_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBa0594f4f1a,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/2607new-app.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB00132cc13c,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/2606app-renewal.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBcf460e4b80,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e75699_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBc78071515d,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/2509sutenai.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB281e483381,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/bunkatsu0.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB55f4ce3b23,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/2023kidsclub.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBc51662ca7a,src_505faf62fdeb6e6f,アクトシティ浜松,https://www.actcity.jp/event/?ym=202608,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB8fe775af84,src_505faf62fdeb6e6f,アクトシティ浜松,https://www.actcity.jp/event/?ym=202608,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB2feb15a294,src_505faf62fdeb6e6f,アクトシティ浜松,https://www.actcity.jp/event/?ym=202608,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
